Store,weight,val_rmspe
586,0.997,0.16194203791197453
587,0.996,0.148943995018492
588,1.001,0.08738042502280496
589,0.994,0.13368705481603607
590,0.997,0.10076766337666582
591,0.996,0.10389533516380822
592,0.994,0.11017238138278587
593,0.998,0.12044604597961549
594,1.0,0.10726527864730231
595,0.992,0.09193040191006054
596,1.01,0.09872582729465068
597,0.995,0.13140915909196532
598,0.996,0.0839089110694742
599,1.0,0.10638233077498825
600,1.0,0.08734606695212702
601,0.996,0.11110535078382539
602,0.996,0.09893341764851603
603,0.996,0.09088263950947878
604,0.987,0.10280011749679245
605,0.996,0.12984055276989273
606,0.999,0.10729187796460521
607,0.991,0.17423142540140354
608,0.996,0.1349144918132128
609,1.002,0.0804272318660376
610,0.995,0.0958650508871089
611,0.999,0.11210035787304608
612,0.984,0.20210160821550205
613,0.994,0.08173078453909806
614,1.001,0.11325360727678468
615,0.994,0.08471092982748067
616,0.995,0.0830376548804826
617,0.998,0.11813701303491839
618,1.001,0.09774921325169916
619,0.996,0.11110916474543743
620,1.004,0.09107204774757753
621,0.999,0.1090917990642881
622,1.001,0.08131493036353461
623,0.99,0.13586367425217225
624,0.995,0.09763835041129673
625,0.997,0.113772420860237
626,0.999,0.11633373185113119
627,1.005,0.13515549211971503
628,0.994,0.09855560253387818
629,0.991,0.14199974755447808
630,0.993,0.10647664858009089
631,0.998,0.08192396103986442
632,1.0030000000000001,0.08021726179954598
633,0.991,0.11827906383551859
634,0.994,0.091853446745863
635,1.0,0.08180991430117622
636,0.999,0.1973865926620978
637,1.0,0.09672614367613486
638,0.996,0.08148660527224838
639,0.989,0.1131098076581507
640,1.0,0.09297667010166939
641,0.988,0.1402695698364208
642,0.987,0.1073711602080324
643,0.999,0.09341355173709281
644,0.994,0.11512503956412115
645,0.997,0.1337079117421274
646,0.998,0.10681426528397925
647,0.997,0.11456725531459813
648,0.995,0.10419370157364388
649,0.994,0.13185252971515596
650,0.993,0.09831493861088514
651,0.997,0.08010399620820341
652,1.0,0.09249137091848539
653,0.998,0.0906504654381991
654,1.001,0.08966222853427658
655,0.991,0.11451937589970171
656,0.992,0.1162102160639261
657,0.981,0.17637986568011021
658,0.997,0.08883958807658891
659,0.995,0.08162801297100235
660,1.0070000000000001,0.10471542307169451
661,0.997,0.10262023748156085
662,0.991,0.09873609077458294
663,1.002,0.14368725639403615
664,1.001,0.10344089307321566
665,0.994,0.11532547006454542
666,1.001,0.10279636539888243
667,0.998,0.08542639056534597
668,0.999,0.0931284068433358
669,0.999,0.09207517528427336
670,0.996,0.0882208072567111
671,1.004,0.10471296986783656
672,1.0,0.07662664674033676
673,0.999,0.09930586859072874
674,0.994,0.08708566227065172
675,0.987,0.16503286811424797
676,1.004,0.061822062765256654
677,0.995,0.1046083384853195
678,0.996,0.13557617503096223
679,0.997,0.08886902894723497
680,1.0030000000000001,0.12476814483633739
681,0.996,0.1427040654095472
682,1.0030000000000001,0.0631903284776955
683,0.995,0.07632073463431267
684,1.0,0.12379923468381501
685,0.993,0.13108353705365516
686,0.999,0.07527119089654334
687,1.002,0.11673015011264586
688,0.996,0.14075603975041728
689,0.993,0.0862005560598415
690,0.997,0.1041241099164923
691,0.995,0.15635085582534305
692,0.996,0.13079110569606317
693,0.992,0.10800769142537878
694,1.0,0.08630798497354739
695,0.994,0.17635301460304556
696,1.008,0.13639532676219604
697,0.995,0.11805592475969374
